Datum von;Uhrzeit von;Datum bis;Uhrzeit bis;Prognose (MW);Ist-Wert (MW);
01.12.2014;00:00:00;01.12.2014;00:15:00;129,00;66;
01.12.2014;00:15:00;01.12.2014;00:30:00;133,00;45;
01.12.2014;00:30:00;01.12.2014;00:45:00;137,00;41;
01.12.2014;00:45:00;01.12.2014;01:00:00;141,00;52;
01.12.2014;01:00:00;01.12.2014;01:15:00;144,00;44;
01.12.2014;01:15:00;01.12.2014;01:30:00;146,00;61;
01.12.2014;01:30:00;01.12.2014;01:45:00;148,00;42;
01.12.2014;01:45:00;01.12.2014;02:00:00;149,00;40;
01.12.2014;02:00:00;01.12.2014;02:15:00;151,00;39;
01.12.2014;02:15:00;01.12.2014;02:30:00;152,00;46;
01.12.2014;02:30:00;01.12.2014;02:45:00;153,00;59;
01.12.2014;02:45:00;01.12.2014;03:00:00;155,00;49;
01.12.2014;03:00:00;01.12.2014;03:15:00;156,00;59;
01.12.2014;03:15:00;01.12.2014;03:30:00;157,00;59;
01.12.2014;03:30:00;01.12.2014;03:45:00;158,00;65;
01.12.2014;03:45:00;01.12.2014;04:00:00;159,00;58;
01.12.2014;04:00:00;01.12.2014;04:15:00;161,00;58;
01.12.2014;04:15:00;01.12.2014;04:30:00;162,00;73;
01.12.2014;04:30:00;01.12.2014;04:45:00;164,00;73;
01.12.2014;04:45:00;01.12.2014;05:00:00;165,00;65;
01.12.2014;05:00:00;01.12.2014;05:15:00;167,00;57;
01.12.2014;05:15:00;01.12.2014;05:30:00;168,00;59;
01.12.2014;05:30:00;01.12.2014;05:45:00;170,00;63;
01.12.2014;05:45:00;01.12.2014;06:00:00;171,00;55;
01.12.2014;06:00:00;01.12.2014;06:15:00;171,00;65;
01.12.2014;06:15:00;01.12.2014;06:30:00;170,00;64;
01.12.2014;06:30:00;01.12.2014;06:45:00;169,00;46;
01.12.2014;06:45:00;01.12.2014;07:00:00;168,00;50;
01.12.2014;07:00:00;01.12.2014;07:15:00;167,00;50;
01.12.2014;07:15:00;01.12.2014;07:30:00;166,00;51;
01.12.2014;07:30:00;01.12.2014;07:45:00;164,00;58;
01.12.2014;07:45:00;01.12.2014;08:00:00;163,00;55;
01.12.2014;08:00:00;01.12.2014;08:15:00;161,00;62;
01.12.2014;08:15:00;01.12.2014;08:30:00;159,00;65;
01.12.2014;08:30:00;01.12.2014;08:45:00;156,00;56;
01.12.2014;08:45:00;01.12.2014;09:00:00;153,00;54;
01.12.2014;09:00:00;01.12.2014;09:15:00;150,00;59;
01.12.2014;09:15:00;01.12.2014;09:30:00;146,00;65;
01.12.2014;09:30:00;01.12.2014;09:45:00;142,00;59;
01.12.2014;09:45:00;01.12.2014;10:00:00;138,00;63;
01.12.2014;10:00:00;01.12.2014;10:15:00;134,00;70;
01.12.2014;10:15:00;01.12.2014;10:30:00;131,00;68;
01.12.2014;10:30:00;01.12.2014;10:45:00;127,00;68;
01.12.2014;10:45:00;01.12.2014;11:00:00;124,00;67;
01.12.2014;11:00:00;01.12.2014;11:15:00;121,00;60;
01.12.2014;11:15:00;01.12.2014;11:30:00;118,00;61;
01.12.2014;11:30:00;01.12.2014;11:45:00;115,00;61;
01.12.2014;11:45:00;01.12.2014;12:00:00;113,00;61;
01.12.2014;12:00:00;01.12.2014;12:15:00;110,00;58;
01.12.2014;12:15:00;01.12.2014;12:30:00;107,00;64;
01.12.2014;12:30:00;01.12.2014;12:45:00;105,00;52;
01.12.2014;12:45:00;01.12.2014;13:00:00;102,00;82;
01.12.2014;13:00:00;01.12.2014;13:15:00;101,00;65;
01.12.2014;13:15:00;01.12.2014;13:30:00;100,00;53;
01.12.2014;13:30:00;01.12.2014;13:45:00;99,00;52;
01.12.2014;13:45:00;01.12.2014;14:00:00;98,00;45;
01.12.2014;14:00:00;01.12.2014;14:15:00;98,00;57;
01.12.2014;14:15:00;01.12.2014;14:30:00;98,00;82;
