Photovoltaikenergieeinspeisung in Gesamt;;;;
2010 Februar;;;;
;;;;
Datum;Position;prognostiziert [MW];tatsächlich [MW];
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;14;0;
;30;14;0;
;31;14;0;
;32;14;2;
;33;39;5;
;34;39;20;
;35;39;46;
;36;39;79;
;37;177;117;
;38;177;156;
;39;177;196;
;40;177;240;
;41;362;279;
;42;362;324;
;43;362;368;
;44;362;405;
;45;509;436;
;46;509;468;
;47;509;497;
;48;509;506;
;49;553;511;
;50;553;513;
;51;553;525;
;52;553;521;
;53;489;517;
;54;489;506;
;55;489;486;
;56;489;468;
;57;341;431;
;58;341;398;
;59;341;369;
;60;341;338;
;61;166;294;
;62;166;254;
;63;166;205;
;64;166;153;
;65;43;107;
;66;43;72;
;67;43;39;
;68;43;17;
;69;11;5;
;70;11;2;
;71;11;1;
;72;11;0;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-02-06;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;0;0;
;30;0;0;
;31;0;0;
;32;0;0;
;33;56;2;
;34;56;4;
;35;56;12;
;36;56;26;
;37;161;40;
;38;161;59;
;39;161;83;
;40;161;109;
;41;281;132;
;42;281;163;
;43;281;189;
;44;281;201;
;45;409;219;
;46;409;237;
;47;409;254;
;48;409;269;
;49;457;276;
;50;457;263;
;51;457;264;
;52;457;270;
;53;404;276;
;54;404;274;
;55;404;265;
;56;404;257;
;57;289;239;
;58;289;221;
;59;289;197;
;60;289;181;
;61;172;155;
;62;172;129;
;63;172;104;
;64;172;78;
;65;59;55;
;66;59;35;
;67;59;20;
;68;59;9;
;69;0;3;
;70;0;3;
;71;0;1;
;72;0;0;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-02-07;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;12;0;
;30;12;0;
;31;12;0;
;32;12;3;
;33;75;11;
;34;75;35;
;35;75;74;
;36;75;104;
;37;297;139;
;38;297;177;
;39;297;228;
;40;297;291;
;41;654;352;
;42;654;421;
;43;654;498;
;44;654;554;
;45;1036;623;
;46;1036;696;
;47;1036;804;
;48;1036;890;
;49;1239;920;
;50;1239;961;
;51;1239;1004;
;52;1239;1018;
;53;1172;1040;
;54;1172;1037;
;55;1172;1031;
;56;1172;985;
;57;838;943;
;58;838;923;
;59;838;902;
;60;838;837;
;61;379;755;
;62;379;648;
;63;379;559;
;64;379;450;
;65;114;348;
;66;114;244;
;67;114;149;
;68;114;74;
;69;16;26;
;70;16;6;
;71;16;3;
;72;16;0;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-02-08;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;32;0;
;30;32;0;
;31;32;1;
;32;32;3;
;33;130;15;
;34;130;34;
;35;130;61;
;36;130;97;
;37;448;138;
;38;448;184;
;39;448;229;
;40;448;268;
;41;1003;302;
;42;1003;342;
;43;1003;381;
;44;1003;417;
;45;1545;456;
;46;1545;502;
;47;1545;541;
;48;1545;570;
;49;1757;606;
;50;1757;658;
;51;1757;717;
;52;1757;755;
;53;1578;756;
;54;1578;752;
;55;1578;752;
;56;1578;746;
;57;1078;723;
;58;1078;693;
;59;1078;659;
;60;1078;613;
;61;478;555;
;62;478;496;
;63;478;424;
;64;478;340;
;65;147;263;
;66;147;193;
;67;147;125;
;68;147;65;
;69;26;24;
;70;26;6;
;71;26;1;
;72;26;0;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-02-09;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;40;0;
;30;40;0;
;31;40;0;
;32;40;5;
;33;146;7;
;34;146;20;
;35;146;41;
;36;146;69;
;37;473;103;
;38;473;146;
;39;473;194;
;40;473;237;
;41;972;315;
;42;972;362;
;43;972;410;
;44;972;399;
;45;1387;437;
;46;1387;461;
;47;1387;478;
;48;1387;494;
;49;1513;507;
;50;1513;523;
;51;1513;543;
;52;1513;563;
;53;1329;550;
;54;1329;541;
;55;1329;527;
;56;1329;531;
;57;907;515;
;58;907;478;
;59;907;445;
;60;907;407;
;61;409;355;
;62;409;293;
;63;409;238;
;64;409;178;
;65;103;126;
;66;103;83;
;67;103;49;
;68;103;23;
;69;28;7;
;70;28;2;
;71;28;1;
;72;28;0;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-02-10;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;14;0;
;30;14;0;
;31;14;0;
;32;14;3;
;33;55;7;
;34;55;16;
;35;55;31;
;36;55;48;
;37;224;68;
;38;224;92;
;39;224;116;
;40;224;134;
;41;389;154;
;42;389;175;
;43;389;204;
;44;389;226;
;45;472;246;
;46;472;276;
;47;472;288;
;48;472;302;
;49;484;307;
;50;484;319;
;51;484;326;
;52;484;340;
;53;446;342;
;54;446;336;
;55;446;334;
;56;446;324;
;57;354;301;
;58;354;273;
;59;354;236;
;60;354;210;
;61;204;183;
;62;204;150;
;63;204;127;
;64;204;99;
;65;52;77;
;66;52;54;
;67;52;36;
;68;52;24;
;69;18;12;
;70;18;5;
;71;18;3;
;72;18;1;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-02-11;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
