Datum von;Uhrzeit von;Datum bis;Uhrzeit bis;Prognose (MW);Ist-Wert (MW);
01.05.2015;00:00:00;01.05.2015;00:15:00;76,00;99;
01.05.2015;00:15:00;01.05.2015;00:30:00;74,00;92;
01.05.2015;00:30:00;01.05.2015;00:45:00;73,00;75;
01.05.2015;00:45:00;01.05.2015;01:00:00;71,00;81;
01.05.2015;01:00:00;01.05.2015;01:15:00;70,00;75;
01.05.2015;01:15:00;01.05.2015;01:30:00;69,00;76;
01.05.2015;01:30:00;01.05.2015;01:45:00;67,00;78;
01.05.2015;01:45:00;01.05.2015;02:00:00;66,00;71;
01.05.2015;02:00:00;01.05.2015;02:15:00;65,00;67;
01.05.2015;02:15:00;01.05.2015;02:30:00;64,00;70;
01.05.2015;02:30:00;01.05.2015;02:45:00;64,00;76;
01.05.2015;02:45:00;01.05.2015;03:00:00;63,00;72;
01.05.2015;03:00:00;01.05.2015;03:15:00;62,00;74;
01.05.2015;03:15:00;01.05.2015;03:30:00;59,00;60;
01.05.2015;03:30:00;01.05.2015;03:45:00;57,00;68;
01.05.2015;03:45:00;01.05.2015;04:00:00;55,00;73;
01.05.2015;04:00:00;01.05.2015;04:15:00;53,00;51;
01.05.2015;04:15:00;01.05.2015;04:30:00;50,00;45;
01.05.2015;04:30:00;01.05.2015;04:45:00;47,00;56;
01.05.2015;04:45:00;01.05.2015;05:00:00;45,00;39;
01.05.2015;05:00:00;01.05.2015;05:15:00;41,00;32;
01.05.2015;05:15:00;01.05.2015;05:30:00;36,00;22;
01.05.2015;05:30:00;01.05.2015;05:45:00;32,00;19;
01.05.2015;05:45:00;01.05.2015;06:00:00;27,00;11;
01.05.2015;06:00:00;01.05.2015;06:15:00;23,00;10;
01.05.2015;06:15:00;01.05.2015;06:30:00;20,00;10;
01.05.2015;06:30:00;01.05.2015;06:45:00;17,00;11;
01.05.2015;06:45:00;01.05.2015;07:00:00;13,00;9;
01.05.2015;07:00:00;01.05.2015;07:15:00;12,00;6;
01.05.2015;07:15:00;01.05.2015;07:30:00;12,00;5;
01.05.2015;07:30:00;01.05.2015;07:45:00;11,00;4;
01.05.2015;07:45:00;01.05.2015;08:00:00;11,00;5;
01.05.2015;08:00:00;01.05.2015;08:15:00;11,00;4;
01.05.2015;08:15:00;01.05.2015;08:30:00;11,00;2;
01.05.2015;08:30:00;01.05.2015;08:45:00;11,00;2;
01.05.2015;08:45:00;01.05.2015;09:00:00;11,00;1;
01.05.2015;09:00:00;01.05.2015;09:15:00;11,00;1;
01.05.2015;09:15:00;01.05.2015;09:30:00;11,00;1;
01.05.2015;09:30:00;01.05.2015;09:45:00;12,00;1;
01.05.2015;09:45:00;01.05.2015;10:00:00;12,00;1;
01.05.2015;10:00:00;01.05.2015;10:15:00;13,00;2;
01.05.2015;10:15:00;01.05.2015;10:30:00;15,00;1;
01.05.2015;10:30:00;01.05.2015;10:45:00;17,00;1;
01.05.2015;10:45:00;01.05.2015;11:00:00;19,00;2;
01.05.2015;11:00:00;01.05.2015;11:15:00;22,00;1;
01.05.2015;11:15:00;01.05.2015;11:30:00;26,00;1;
01.05.2015;11:30:00;01.05.2015;11:45:00;29,00;1;
01.05.2015;11:45:00;01.05.2015;12:00:00;33,00;2;
01.05.2015;12:00:00;01.05.2015;12:15:00;37,00;1;
01.05.2015;12:15:00;01.05.2015;12:30:00;43,00;2;
01.05.2015;12:30:00;01.05.2015;12:45:00;48,00;2;
01.05.2015;12:45:00;01.05.2015;13:00:00;53,00;6;
01.05.2015;13:00:00;01.05.2015;13:15:00;58,00;7;
01.05.2015;13:15:00;01.05.2015;13:30:00;63,00;14;
01.05.2015;13:30:00;01.05.2015;13:45:00;67,00;15;
01.05.2015;13:45:00;01.05.2015;14:00:00;72,00;23;
01.05.2015;14:00:00;01.05.2015;14:15:00;76,00;27;
01.05.2015;14:15:00;01.05.2015;14:30:00;80,00;31;
01.05.2015;14:30:00;01.05.2015;14:45:00;84,00;20;
01.05.2015;14:45:00;01.05.2015;15:00:00;88,00;30;
01.05.2015;15:00:00;01.05.2015;15:15:00;91,00;28;
01.05.2015;15:15:00;01.05.2015;15:30:00;92,00;37;
01.05.2015;15:30:00;01.05.2015;15:45:00;94,00;36;
01.05.2015;15:45:00;01.05.2015;16:00:00;95,00;45;
01.05.2015;16:00:00;01.05.2015;16:15:00;96,00;42;
01.05.2015;16:15:00;01.05.2015;16:30:00;96,00;37;
01.05.2015;16:30:00;01.05.2015;16:45:00;96,00;40;
01.05.2015;16:45:00;01.05.2015;17:00:00;97,00;43;
01.05.2015;17:00:00;01.05.2015;17:15:00;97,00;48;
01.05.2015;17:15:00;01.05.2015;17:30:00;99,00;33;
01.05.2015;17:30:00;01.05.2015;17:45:00;100,00;41;
01.05.2015;17:45:00;01.05.2015;18:00:00;101,00;45;
01.05.2015;18:00:00;01.05.2015;18:15:00;103,00;41;
01.05.2015;18:15:00;01.05.2015;18:30:00;105,00;45;
01.05.2015;18:30:00;01.05.2015;18:45:00;107,00;45;
01.05.2015;18:45:00;01.05.2015;19:00:00;108,00;38;
01.05.2015;19:00:00;01.05.2015;19:15:00;110,00;48;
01.05.2015;19:15:00;01.05.2015;19:30:00;110,00;40;
01.05.2015;19:30:00;01.05.2015;19:45:00;111,00;52;
01.05.2015;19:45:00;01.05.2015;20:00:00;111,00;51;
01.05.2015;20:00:00;01.05.2015;20:15:00;110,00;52;
01.05.2015;20:15:00;01.05.2015;20:30:00;107,00;58;
01.05.2015;20:30:00;01.05.2015;20:45:00;103,00;65;
01.05.2015;20:45:00;01.05.2015;21:00:00;100,00;73;
01.05.2015;21:00:00;01.05.2015;21:15:00;96,00;76;
01.05.2015;21:15:00;01.05.2015;21:30:00;92,00;65;
01.05.2015;21:30:00;01.05.2015;21:45:00;88,00;64;
01.05.2015;21:45:00;01.05.2015;22:00:00;84,00;63;
01.05.2015;22:00:00;01.05.2015;22:15:00;81,00;60;
01.05.2015;22:15:00;01.05.2015;22:30:00;78,00;36;
01.05.2015;22:30:00;01.05.2015;22:45:00;75,00;42;
01.05.2015;22:45:00;01.05.2015;23:00:00;72,00;27;
01.05.2015;23:00:00;01.05.2015;23:15:00;70,00;25;
01.05.2015;23:15:00;01.05.2015;23:30:00;69,00;34;
01.05.2015;23:30:00;01.05.2015;23:45:00;68,00;42;
01.05.2015;23:45:00;02.05.2015;00:00:00;66,00;32;
02.05.2015;00:00:00;02.05.2015;00:15:00;43,00;27;
02.05.2015;00:15:00;02.05.2015;00:30:00;40,00;19;
02.05.2015;00:30:00;02.05.2015;00:45:00;37,00;13;
02.05.2015;00:45:00;02.05.2015;01:00:00;35,00;15;
02.05.2015;01:00:00;02.05.2015;01:15:00;34,00;13;
02.05.2015;01:15:00;02.05.2015;01:30:00;34,00;14;
02.05.2015;01:30:00;02.05.2015;01:45:00;34,00;13;
02.05.2015;01:45:00;02.05.2015;02:00:00;35,00;15;
02.05.2015;02:00:00;02.05.2015;02:15:00;34,00;11;
02.05.2015;02:15:00;02.05.2015;02:30:00;33,00;10;
