Datum von;Uhrzeit von;Datum bis;Uhrzeit bis;Prognose (MW);Ist-Wert (MW);
01.02.2015;00:00:00;01.02.2015;00:15:00;64,00;40;
01.02.2015;00:15:00;01.02.2015;00:30:00;64,00;43;
01.02.2015;00:30:00;01.02.2015;00:45:00;63,00;47;
01.02.2015;00:45:00;01.02.2015;01:00:00;62,00;31;
01.02.2015;01:00:00;01.02.2015;01:15:00;62,00;37;
01.02.2015;01:15:00;01.02.2015;01:30:00;63,00;31;
01.02.2015;01:30:00;01.02.2015;01:45:00;64,00;41;
01.02.2015;01:45:00;01.02.2015;02:00:00;65,00;50;
01.02.2015;02:00:00;01.02.2015;02:15:00;67,00;61;
01.02.2015;02:15:00;01.02.2015;02:30:00;69,00;72;
01.02.2015;02:30:00;01.02.2015;02:45:00;71,00;69;
01.02.2015;02:45:00;01.02.2015;03:00:00;74,00;84;
01.02.2015;03:00:00;01.02.2015;03:15:00;76,00;106;
01.02.2015;03:15:00;01.02.2015;03:30:00;77,00;140;
01.02.2015;03:30:00;01.02.2015;03:45:00;79,00;124;
01.02.2015;03:45:00;01.02.2015;04:00:00;81,00;111;
01.02.2015;04:00:00;01.02.2015;04:15:00;82,00;104;
01.02.2015;04:15:00;01.02.2015;04:30:00;82,00;113;
01.02.2015;04:30:00;01.02.2015;04:45:00;82,00;128;
01.02.2015;04:45:00;01.02.2015;05:00:00;83,00;131;
01.02.2015;05:00:00;01.02.2015;05:15:00;83,00;118;
01.02.2015;05:15:00;01.02.2015;05:30:00;82,00;122;
01.02.2015;05:30:00;01.02.2015;05:45:00;82,00;125;
01.02.2015;05:45:00;01.02.2015;06:00:00;82,00;116;
01.02.2015;06:00:00;01.02.2015;06:15:00;82,00;127;
01.02.2015;06:15:00;01.02.2015;06:30:00;82,00;134;
01.02.2015;06:30:00;01.02.2015;06:45:00;83,00;144;
01.02.2015;06:45:00;01.02.2015;07:00:00;83,00;136;
01.02.2015;07:00:00;01.02.2015;07:15:00;84,00;98;
01.02.2015;07:15:00;01.02.2015;07:30:00;86,00;102;
01.02.2015;07:30:00;01.02.2015;07:45:00;88,00;95;
01.02.2015;07:45:00;01.02.2015;08:00:00;90,00;92;
01.02.2015;08:00:00;01.02.2015;08:15:00;92,00;90;
01.02.2015;08:15:00;01.02.2015;08:30:00;94,00;83;
01.02.2015;08:30:00;01.02.2015;08:45:00;96,00;62;
01.02.2015;08:45:00;01.02.2015;09:00:00;98,00;76;
01.02.2015;09:00:00;01.02.2015;09:15:00;101,00;68;
01.02.2015;09:15:00;01.02.2015;09:30:00;105,00;88;
01.02.2015;09:30:00;01.02.2015;09:45:00;109,00;63;
01.02.2015;09:45:00;01.02.2015;10:00:00;113,00;92;
01.02.2015;10:00:00;01.02.2015;10:15:00;115,00;97;
01.02.2015;10:15:00;01.02.2015;10:30:00;116,00;125;
01.02.2015;10:30:00;01.02.2015;10:45:00;117,00;114;
01.02.2015;10:45:00;01.02.2015;11:00:00;118,00;89;
01.02.2015;11:00:00;01.02.2015;11:15:00;119,00;109;
01.02.2015;11:15:00;01.02.2015;11:30:00;121,00;106;
01.02.2015;11:30:00;01.02.2015;11:45:00;123,00;88;
01.02.2015;11:45:00;01.02.2015;12:00:00;125,00;102;
01.02.2015;12:00:00;01.02.2015;12:15:00;127,00;113;
01.02.2015;12:15:00;01.02.2015;12:30:00;128,00;111;
01.02.2015;12:30:00;01.02.2015;12:45:00;130,00;96;
01.02.2015;12:45:00;01.02.2015;13:00:00;131,00;87;
01.02.2015;13:00:00;01.02.2015;13:15:00;131,00;80;
01.02.2015;13:15:00;01.02.2015;13:30:00;128,00;75;
01.02.2015;13:30:00;01.02.2015;13:45:00;126,00;73;
01.02.2015;13:45:00;01.02.2015;14:00:00;123,00;65;
01.02.2015;14:00:00;01.02.2015;14:15:00;121,00;57;
01.02.2015;14:15:00;01.02.2015;14:30:00;119,00;57;
01.02.2015;14:30:00;01.02.2015;14:45:00;118,00;64;
01.02.2015;14:45:00;01.02.2015;15:00:00;116,00;58;
01.02.2015;15:00:00;01.02.2015;15:15:00;114,00;52;
01.02.2015;15:15:00;01.02.2015;15:30:00;113,00;48;
01.02.2015;15:30:00;01.02.2015;15:45:00;111,00;69;
01.02.2015;15:45:00;01.02.2015;16:00:00;109,00;56;
01.02.2015;16:00:00;01.02.2015;16:15:00;109,00;53;
01.02.2015;16:15:00;01.02.2015;16:30:00;109,00;68;
01.02.2015;16:30:00;01.02.2015;16:45:00;109,00;49;
01.02.2015;16:45:00;01.02.2015;17:00:00;110,00;53;
01.02.2015;17:00:00;01.02.2015;17:15:00;110,00;57;
01.02.2015;17:15:00;01.02.2015;17:30:00;111,00;53;
01.02.2015;17:30:00;01.02.2015;17:45:00;111,00;49;
01.02.2015;17:45:00;01.02.2015;18:00:00;112,00;86;
01.02.2015;18:00:00;01.02.2015;18:15:00;112,00;112;
01.02.2015;18:15:00;01.02.2015;18:30:00;113,00;131;
01.02.2015;18:30:00;01.02.2015;18:45:00;113,00;180;
01.02.2015;18:45:00;01.02.2015;19:00:00;113,00;171;
01.02.2015;19:00:00;01.02.2015;19:15:00;115,00;203;
01.02.2015;19:15:00;01.02.2015;19:30:00;117,00;194;
01.02.2015;19:30:00;01.02.2015;19:45:00;119,00;200;
01.02.2015;19:45:00;01.02.2015;20:00:00;121,00;212;
01.02.2015;20:00:00;01.02.2015;20:15:00;123,00;192;
01.02.2015;20:15:00;01.02.2015;20:30:00;126,00;194;
01.02.2015;20:30:00;01.02.2015;20:45:00;128,00;170;
01.02.2015;20:45:00;01.02.2015;21:00:00;131,00;134;
