Datum von;Uhrzeit von;Datum bis;Uhrzeit bis;Prognose (MW);Ist-Wert (MW);
01.07.2015;00:00:00;01.07.2015;00:15:00;110,00;109;
01.07.2015;00:15:00;01.07.2015;00:30:00;113,00;119;
01.07.2015;00:30:00;01.07.2015;00:45:00;115,00;126;
01.07.2015;00:45:00;01.07.2015;01:00:00;118,00;134;
01.07.2015;01:00:00;01.07.2015;01:15:00;118,00;130;
01.07.2015;01:15:00;01.07.2015;01:30:00;116,00;136;
01.07.2015;01:30:00;01.07.2015;01:45:00;114,00;143;
01.07.2015;01:45:00;01.07.2015;02:00:00;112,00;138;
01.07.2015;02:00:00;01.07.2015;02:15:00;110,00;122;
01.07.2015;02:15:00;01.07.2015;02:30:00;107,00;126;
01.07.2015;02:30:00;01.07.2015;02:45:00;104,00;144;
01.07.2015;02:45:00;01.07.2015;03:00:00;101,00;142;
01.07.2015;03:00:00;01.07.2015;03:15:00;97,00;132;
01.07.2015;03:15:00;01.07.2015;03:30:00;92,00;137;
01.07.2015;03:30:00;01.07.2015;03:45:00;87,00;110;
01.07.2015;03:45:00;01.07.2015;04:00:00;82,00;123;
01.07.2015;04:00:00;01.07.2015;04:15:00;77,00;117;
01.07.2015;04:15:00;01.07.2015;04:30:00;73,00;97;
01.07.2015;04:30:00;01.07.2015;04:45:00;68,00;106;
01.07.2015;04:45:00;01.07.2015;05:00:00;64,00;89;
01.07.2015;05:00:00;01.07.2015;05:15:00;61,00;73;
01.07.2015;05:15:00;01.07.2015;05:30:00;60,00;83;
01.07.2015;05:30:00;01.07.2015;05:45:00;59,00;82;
01.07.2015;05:45:00;01.07.2015;06:00:00;57,00;60;
01.07.2015;06:00:00;01.07.2015;06:15:00;56,00;63;
01.07.2015;06:15:00;01.07.2015;06:30:00;54,00;46;
01.07.2015;06:30:00;01.07.2015;06:45:00;52,00;45;
01.07.2015;06:45:00;01.07.2015;07:00:00;51,00;44;
01.07.2015;07:00:00;01.07.2015;07:15:00;49,00;32;
01.07.2015;07:15:00;01.07.2015;07:30:00;48,00;28;
01.07.2015;07:30:00;01.07.2015;07:45:00;47,00;25;
01.07.2015;07:45:00;01.07.2015;08:00:00;46,00;21;
01.07.2015;08:00:00;01.07.2015;08:15:00;45,00;19;
01.07.2015;08:15:00;01.07.2015;08:30:00;43,00;17;
01.07.2015;08:30:00;01.07.2015;08:45:00;41,00;8;
01.07.2015;08:45:00;01.07.2015;09:00:00;39,00;9;
01.07.2015;09:00:00;01.07.2015;09:15:00;37,00;7;
01.07.2015;09:15:00;01.07.2015;09:30:00;35,00;5;
01.07.2015;09:30:00;01.07.2015;09:45:00;34,00;2;
01.07.2015;09:45:00;01.07.2015;10:00:00;32,00;5;
01.07.2015;10:00:00;01.07.2015;10:15:00;31,00;5;
01.07.2015;10:15:00;01.07.2015;10:30:00;31,00;4;
01.07.2015;10:30:00;01.07.2015;10:45:00;31,00;8;
01.07.2015;10:45:00;01.07.2015;11:00:00;31,00;14;
01.07.2015;11:00:00;01.07.2015;11:15:00;31,00;16;
01.07.2015;11:15:00;01.07.2015;11:30:00;31,00;19;
01.07.2015;11:30:00;01.07.2015;11:45:00;31,00;25;
01.07.2015;11:45:00;01.07.2015;12:00:00;32,00;23;
01.07.2015;12:00:00;01.07.2015;12:15:00;32,00;22;
01.07.2015;12:15:00;01.07.2015;12:30:00;32,00;16;
01.07.2015;12:30:00;01.07.2015;12:45:00;32,00;17;
01.07.2015;12:45:00;01.07.2015;13:00:00;32,00;19;
01.07.2015;13:00:00;01.07.2015;13:15:00;33,00;20;
01.07.2015;13:15:00;01.07.2015;13:30:00;33,00;20;
01.07.2015;13:30:00;01.07.2015;13:45:00;34,00;25;
01.07.2015;13:45:00;01.07.2015;14:00:00;35,00;30;
01.07.2015;14:00:00;01.07.2015;14:15:00;35,00;17;
01.07.2015;14:15:00;01.07.2015;14:30:00;35,00;18;
01.07.2015;14:30:00;01.07.2015;14:45:00;34,00;19;
01.07.2015;14:45:00;01.07.2015;15:00:00;33,00;19;
01.07.2015;15:00:00;01.07.2015;15:15:00;33,00;20;
01.07.2015;15:15:00;01.07.2015;15:30:00;32,00;17;
01.07.2015;15:30:00;01.07.2015;15:45:00;32,00;17;
01.07.2015;15:45:00;01.07.2015;16:00:00;31,00;19;
01.07.2015;16:00:00;01.07.2015;16:15:00;31,00;22;
01.07.2015;16:15:00;01.07.2015;16:30:00;30,00;19;
01.07.2015;16:30:00;01.07.2015;16:45:00;30,00;14;
01.07.2015;16:45:00;01.07.2015;17:00:00;30,00;17;
01.07.2015;17:00:00;01.07.2015;17:15:00;30,00;14;
01.07.2015;17:15:00;01.07.2015;17:30:00;30,00;14;
