Datum von;Uhrzeit von;Datum bis;Uhrzeit bis;Prognose (MW);Ist-Wert (MW);
01.08.2015;00:00:00;01.08.2015;00:15:00;221,00;228;
01.08.2015;00:15:00;01.08.2015;00:30:00;213,00;233;
01.08.2015;00:30:00;01.08.2015;00:45:00;204,00;230;
01.08.2015;00:45:00;01.08.2015;01:00:00;195,00;213;
01.08.2015;01:00:00;01.08.2015;01:15:00;188,00;218;
01.08.2015;01:15:00;01.08.2015;01:30:00;182,00;228;
01.08.2015;01:30:00;01.08.2015;01:45:00;176,00;213;
01.08.2015;01:45:00;01.08.2015;02:00:00;170,00;202;
01.08.2015;02:00:00;01.08.2015;02:15:00;164,00;218;
01.08.2015;02:15:00;01.08.2015;02:30:00;159,00;210;
01.08.2015;02:30:00;01.08.2015;02:45:00;154,00;204;
01.08.2015;02:45:00;01.08.2015;03:00:00;149,00;218;
01.08.2015;03:00:00;01.08.2015;03:15:00;143,00;212;
01.08.2015;03:15:00;01.08.2015;03:30:00;138,00;208;
01.08.2015;03:30:00;01.08.2015;03:45:00;133,00;210;
01.08.2015;03:45:00;01.08.2015;04:00:00;127,00;195;
01.08.2015;04:00:00;01.08.2015;04:15:00;122,00;177;
01.08.2015;04:15:00;01.08.2015;04:30:00;118,00;164;
01.08.2015;04:30:00;01.08.2015;04:45:00;113,00;165;
01.08.2015;04:45:00;01.08.2015;05:00:00;109,00;163;
01.08.2015;05:00:00;01.08.2015;05:15:00;104,00;162;
01.08.2015;05:15:00;01.08.2015;05:30:00;99,00;157;
01.08.2015;05:30:00;01.08.2015;05:45:00;95,00;149;
01.08.2015;05:45:00;01.08.2015;06:00:00;90,00;138;
01.08.2015;06:00:00;01.08.2015;06:15:00;85,00;125;
01.08.2015;06:15:00;01.08.2015;06:30:00;81,00;130;
01.08.2015;06:30:00;01.08.2015;06:45:00;78,00;133;
01.08.2015;06:45:00;01.08.2015;07:00:00;74,00;123;
01.08.2015;07:00:00;01.08.2015;07:15:00;69,00;101;
01.08.2015;07:15:00;01.08.2015;07:30:00;65,00;91;
01.08.2015;07:30:00;01.08.2015;07:45:00;60,00;84;
01.08.2015;07:45:00;01.08.2015;08:00:00;55,00;70;
01.08.2015;08:00:00;01.08.2015;08:15:00;49,00;57;
01.08.2015;08:15:00;01.08.2015;08:30:00;44,00;45;
01.08.2015;08:30:00;01.08.2015;08:45:00;38,00;46;
01.08.2015;08:45:00;01.08.2015;09:00:00;33,00;47;
01.08.2015;09:00:00;01.08.2015;09:15:00;29,00;55;
01.08.2015;09:15:00;01.08.2015;09:30:00;27,00;52;
01.08.2015;09:30:00;01.08.2015;09:45:00;25,00;41;
01.08.2015;09:45:00;01.08.2015;10:00:00;22,00;44;
01.08.2015;10:00:00;01.08.2015;10:15:00;21,00;37;
01.08.2015;10:15:00;01.08.2015;10:30:00;21,00;34;
01.08.2015;10:30:00;01.08.2015;10:45:00;21,00;27;
01.08.2015;10:45:00;01.08.2015;11:00:00;20,00;27;
01.08.2015;11:00:00;01.08.2015;11:15:00;20,00;26;
01.08.2015;11:15:00;01.08.2015;11:30:00;20,00;23;
01.08.2015;11:30:00;01.08.2015;11:45:00;20,00;23;
01.08.2015;11:45:00;01.08.2015;12:00:00;20,00;20;
01.08.2015;12:00:00;01.08.2015;12:15:00;20,00;16;
01.08.2015;12:15:00;01.08.2015;12:30:00;20,00;9;
01.08.2015;12:30:00;01.08.2015;12:45:00;20,00;7;
01.08.2015;12:45:00;01.08.2015;13:00:00;20,00;4;
01.08.2015;13:00:00;01.08.2015;13:15:00;20,00;3;
01.08.2015;13:15:00;01.08.2015;13:30:00;20,00;2;
01.08.2015;13:30:00;01.08.2015;13:45:00;20,00;2;
