Datum von;Uhrzeit von;Datum bis;Uhrzeit bis;Prognose (MW);Ist-Wert (MW);
01.04.2015;00:00:00;01.04.2015;00:15:00;468,00;439;
01.04.2015;00:15:00;01.04.2015;00:30:00;470,00;354;
01.04.2015;00:30:00;01.04.2015;00:45:00;473,00;368;
01.04.2015;00:45:00;01.04.2015;01:00:00;476,00;368;
01.04.2015;01:00:00;01.04.2015;01:15:00;477,00;403;
01.04.2015;01:15:00;01.04.2015;01:30:00;478,00;355;
01.04.2015;01:30:00;01.04.2015;01:45:00;479,00;422;
01.04.2015;01:45:00;01.04.2015;02:00:00;480,00;401;
01.04.2015;02:00:00;01.04.2015;02:15:00;480,00;396;
01.04.2015;02:15:00;01.04.2015;02:30:00;479,00;334;
01.04.2015;02:30:00;01.04.2015;02:45:00;478,00;320;
01.04.2015;02:45:00;01.04.2015;03:00:00;477,00;326;
01.04.2015;03:00:00;01.04.2015;03:15:00;475,00;333;
01.04.2015;03:15:00;01.04.2015;03:30:00;472,00;330;
01.04.2015;03:30:00;01.04.2015;03:45:00;469,00;360;
01.04.2015;03:45:00;01.04.2015;04:00:00;465,00;337;
01.04.2015;04:00:00;01.04.2015;04:15:00;463,00;345;
01.04.2015;04:15:00;01.04.2015;04:30:00;462,00;365;
01.04.2015;04:30:00;01.04.2015;04:45:00;461,00;340;
01.04.2015;04:45:00;01.04.2015;05:00:00;460,00;283;
01.04.2015;05:00:00;01.04.2015;05:15:00;460,00;332;
01.04.2015;05:15:00;01.04.2015;05:30:00;462,00;334;
01.04.2015;05:30:00;01.04.2015;05:45:00;463,00;324;
01.04.2015;05:45:00;01.04.2015;06:00:00;465,00;332;
01.04.2015;06:00:00;01.04.2015;06:15:00;466,00;348;
01.04.2015;06:15:00;01.04.2015;06:30:00;468,00;361;
01.04.2015;06:30:00;01.04.2015;06:45:00;471,00;350;
01.04.2015;06:45:00;01.04.2015;07:00:00;473,00;329;
01.04.2015;07:00:00;01.04.2015;07:15:00;474,00;344;
01.04.2015;07:15:00;01.04.2015;07:30:00;473,00;290;
01.04.2015;07:30:00;01.04.2015;07:45:00;473,00;317;
01.04.2015;07:45:00;01.04.2015;08:00:00;473,00;299;
01.04.2015;08:00:00;01.04.2015;08:15:00;472,00;315;
01.04.2015;08:15:00;01.04.2015;08:30:00;471,00;326;
