Datum von;Uhrzeit von;Datum bis;Uhrzeit bis;Prognose (MW);Ist-Wert (MW);
01.03.2015;00:00:00;01.03.2015;00:15:00;105,00;157;
01.03.2015;00:15:00;01.03.2015;00:30:00;106,00;159;
01.03.2015;00:30:00;01.03.2015;00:45:00;108,00;160;
01.03.2015;00:45:00;01.03.2015;01:00:00;109,00;184;
01.03.2015;01:00:00;01.03.2015;01:15:00;111,00;196;
01.03.2015;01:15:00;01.03.2015;01:30:00;114,00;183;
01.03.2015;01:30:00;01.03.2015;01:45:00;116,00;175;
01.03.2015;01:45:00;01.03.2015;02:00:00;119,00;189;
01.03.2015;02:00:00;01.03.2015;02:15:00;121,00;194;
01.03.2015;02:15:00;01.03.2015;02:30:00;124,00;190;
01.03.2015;02:30:00;01.03.2015;02:45:00;126,00;165;
01.03.2015;02:45:00;01.03.2015;03:00:00;129,00;197;
01.03.2015;03:00:00;01.03.2015;03:15:00;131,00;184;
01.03.2015;03:15:00;01.03.2015;03:30:00;133,00;205;
01.03.2015;03:30:00;01.03.2015;03:45:00;134,00;216;
01.03.2015;03:45:00;01.03.2015;04:00:00;136,00;182;
01.03.2015;04:00:00;01.03.2015;04:15:00;138,00;208;
01.03.2015;04:15:00;01.03.2015;04:30:00;139,00;171;
01.03.2015;04:30:00;01.03.2015;04:45:00;141,00;177;
01.03.2015;04:45:00;01.03.2015;05:00:00;143,00;173;
01.03.2015;05:00:00;01.03.2015;05:15:00;144,00;199;
01.03.2015;05:15:00;01.03.2015;05:30:00;145,00;185;
01.03.2015;05:30:00;01.03.2015;05:45:00;146,00;194;
01.03.2015;05:45:00;01.03.2015;06:00:00;146,00;214;
01.03.2015;06:00:00;01.03.2015;06:15:00;149,00;219;
01.03.2015;06:15:00;01.03.2015;06:30:00;152,00;247;
01.03.2015;06:30:00;01.03.2015;06:45:00;155,00;234;
01.03.2015;06:45:00;01.03.2015;07:00:00;159,00;245;
01.03.2015;07:00:00;01.03.2015;07:15:00;163,00;248;
01.03.2015;07:15:00;01.03.2015;07:30:00;168,00;264;
01.03.2015;07:30:00;01.03.2015;07:45:00;174,00;268;
01.03.2015;07:45:00;01.03.2015;08:00:00;179,00;274;
01.03.2015;08:00:00;01.03.2015;08:15:00;184,00;261;
01.03.2015;08:15:00;01.03.2015;08:30:00;190,00;283;
01.03.2015;08:30:00;01.03.2015;08:45:00;196,00;292;
01.03.2015;08:45:00;01.03.2015;09:00:00;202,00;294;
01.03.2015;09:00:00;01.03.2015;09:15:00;207,00;298;
01.03.2015;09:15:00;01.03.2015;09:30:00;209,00;283;
01.03.2015;09:30:00;01.03.2015;09:45:00;212,00;264;
01.03.2015;09:45:00;01.03.2015;10:00:00;215,00;344;
01.03.2015;10:00:00;01.03.2015;10:15:00;216,00;319;
01.03.2015;10:15:00;01.03.2015;10:30:00;217,00;336;
01.03.2015;10:30:00;01.03.2015;10:45:00;217,00;315;
01.03.2015;10:45:00;01.03.2015;11:00:00;217,00;331;
01.03.2015;11:00:00;01.03.2015;11:15:00;217,00;316;
01.03.2015;11:15:00;01.03.2015;11:30:00;217,00;302;
01.03.2015;11:30:00;01.03.2015;11:45:00;216,00;304;
01.03.2015;11:45:00;01.03.2015;12:00:00;216,00;300;
01.03.2015;12:00:00;01.03.2015;12:15:00;216,00;272;
01.03.2015;12:15:00;01.03.2015;12:30:00;219,00;209;
01.03.2015;12:30:00;01.03.2015;12:45:00;221,00;239;
01.03.2015;12:45:00;01.03.2015;13:00:00;223,00;213;
01.03.2015;13:00:00;01.03.2015;13:15:00;223,00;226;
01.03.2015;13:15:00;01.03.2015;13:30:00;220,00;246;
01.03.2015;13:30:00;01.03.2015;13:45:00;218,00;204;
01.03.2015;13:45:00;01.03.2015;14:00:00;216,00;264;
01.03.2015;14:00:00;01.03.2015;14:15:00;213,00;231;
01.03.2015;14:15:00;01.03.2015;14:30:00;210,00;209;
01.03.2015;14:30:00;01.03.2015;14:45:00;206,00;169;
01.03.2015;14:45:00;01.03.2015;15:00:00;203,00;184;
01.03.2015;15:00:00;01.03.2015;15:15:00;198,00;179;
01.03.2015;15:15:00;01.03.2015;15:30:00;193,00;181;
01.03.2015;15:30:00;01.03.2015;15:45:00;188,00;183;
01.03.2015;15:45:00;01.03.2015;16:00:00;183,00;170;
01.03.2015;16:00:00;01.03.2015;16:15:00;177,00;200;
01.03.2015;16:15:00;01.03.2015;16:30:00;171,00;209;
01.03.2015;16:30:00;01.03.2015;16:45:00;165,00;204;
01.03.2015;16:45:00;01.03.2015;17:00:00;159,00;231;
01.03.2015;17:00:00;01.03.2015;17:15:00;155,00;241;
01.03.2015;17:15:00;01.03.2015;17:30:00;155,00;207;
01.03.2015;17:30:00;01.03.2015;17:45:00;155,00;172;
01.03.2015;17:45:00;01.03.2015;18:00:00;154,00;173;
01.03.2015;18:00:00;01.03.2015;18:15:00;156,00;178;
01.03.2015;18:15:00;01.03.2015;18:30:00;159,00;194;
01.03.2015;18:30:00;01.03.2015;18:45:00;162,00;191;
01.03.2015;18:45:00;01.03.2015;19:00:00;165,00;177;
01.03.2015;19:00:00;01.03.2015;19:15:00;169,00;175;
01.03.2015;19:15:00;01.03.2015;19:30:00;173,00;204;
01.03.2015;19:30:00;01.03.2015;19:45:00;177,00;228;
01.03.2015;19:45:00;01.03.2015;20:00:00;181,00;244;
01.03.2015;20:00:00;01.03.2015;20:15:00;184,00;245;
01.03.2015;20:15:00;01.03.2015;20:30:00;187,00;236;
01.03.2015;20:30:00;01.03.2015;20:45:00;189,00;247;
01.03.2015;20:45:00;01.03.2015;21:00:00;192,00;233;
01.03.2015;21:00:00;01.03.2015;21:15:00;193,00;212;
01.03.2015;21:15:00;01.03.2015;21:30:00;195,00;237;
01.03.2015;21:30:00;01.03.2015;21:45:00;196,00;252;
01.03.2015;21:45:00;01.03.2015;22:00:00;197,00;256;
01.03.2015;22:00:00;01.03.2015;22:15:00;197,00;287;
01.03.2015;22:15:00;01.03.2015;22:30:00;196,00;256;
01.03.2015;22:30:00;01.03.2015;22:45:00;195,00;219;
01.03.2015;22:45:00;01.03.2015;23:00:00;194,00;241;
01.03.2015;23:00:00;01.03.2015;23:15:00;192,00;281;
01.03.2015;23:15:00;01.03.2015;23:30:00;189,00;259;
01.03.2015;23:30:00;01.03.2015;23:45:00;186,00;314;
01.03.2015;23:45:00;02.03.2015;00:00:00;183,00;345;
02.03.2015;00:00:00;02.03.2015;00:15:00;237,00;341;
02.03.2015;00:15:00;02.03.2015;00:30:00;239,00;267;
02.03.2015;00:30:00;02.03.2015;00:45:00;242,00;304;
02.03.2015;00:45:00;02.03.2015;01:00:00;244,00;288;
02.03.2015;01:00:00;02.03.2015;01:15:00;247,00;311;
02.03.2015;01:15:00;02.03.2015;01:30:00;251,00;301;
02.03.2015;01:30:00;02.03.2015;01:45:00;255,00;341;
02.03.2015;01:45:00;02.03.2015;02:00:00;259,00;328;
02.03.2015;02:00:00;02.03.2015;02:15:00;263,00;337;
02.03.2015;02:15:00;02.03.2015;02:30:00;268,00;369;
02.03.2015;02:30:00;02.03.2015;02:45:00;273,00;387;
02.03.2015;02:45:00;02.03.2015;03:00:00;278,00;386;
02.03.2015;03:00:00;02.03.2015;03:15:00;281,00;381;
02.03.2015;03:15:00;02.03.2015;03:30:00;283,00;390;
02.03.2015;03:30:00;02.03.2015;03:45:00;285,00;340;
02.03.2015;03:45:00;02.03.2015;04:00:00;286,00;398;
02.03.2015;04:00:00;02.03.2015;04:15:00;287,00;370;
02.03.2015;04:15:00;02.03.2015;04:30:00;285,00;432;
02.03.2015;04:30:00;02.03.2015;04:45:00;284,00;442;
02.03.2015;04:45:00;02.03.2015;05:00:00;283,00;487;
02.03.2015;05:00:00;02.03.2015;05:15:00;282,00;478;
02.03.2015;05:15:00;02.03.2015;05:30:00;281,00;470;
02.03.2015;05:30:00;02.03.2015;05:45:00;279,00;513;
02.03.2015;05:45:00;02.03.2015;06:00:00;278,00;499;
02.03.2015;06:00:00;02.03.2015;06:15:00;274,00;489;
02.03.2015;06:15:00;02.03.2015;06:30:00;268,00;484;
02.03.2015;06:30:00;02.03.2015;06:45:00;261,00;481;
02.03.2015;06:45:00;02.03.2015;07:00:00;255,00;453;
02.03.2015;07:00:00;02.03.2015;07:15:00;250,00;436;
02.03.2015;07:15:00;02.03.2015;07:30:00;247,00;342;
02.03.2015;07:30:00;02.03.2015;07:45:00;244,00;319;
02.03.2015;07:45:00;02.03.2015;08:00:00;242,00;289;
02.03.2015;08:00:00;02.03.2015;08:15:00;239,00;286;
02.03.2015;08:15:00;02.03.2015;08:30:00;238,00;325;
02.03.2015;08:30:00;02.03.2015;08:45:00;237,00;329;
02.03.2015;08:45:00;02.03.2015;09:00:00;236,00;320;
02.03.2015;09:00:00;02.03.2015;09:15:00;235,00;386;
02.03.2015;09:15:00;02.03.2015;09:30:00;234,00;424;
02.03.2015;09:30:00;02.03.2015;09:45:00;234,00;403;
02.03.2015;09:45:00;02.03.2015;10:00:00;233,00;397;
02.03.2015;10:00:00;02.03.2015;10:15:00;235,00;395;
02.03.2015;10:15:00;02.03.2015;10:30:00;239,00;401;
02.03.2015;10:30:00;02.03.2015;10:45:00;243,00;361;
02.03.2015;10:45:00;02.03.2015;11:00:00;246,00;404;
02.03.2015;11:00:00;02.03.2015;11:15:00;250,00;497;
02.03.2015;11:15:00;02.03.2015;11:30:00;254,00;458;
02.03.2015;11:30:00;02.03.2015;11:45:00;257,00;482;
02.03.2015;11:45:00;02.03.2015;12:00:00;261,00;489;
02.03.2015;12:00:00;02.03.2015;12:15:00;262,00;429;
02.03.2015;12:15:00;02.03.2015;12:30:00;260,00;410;
02.03.2015;12:30:00;02.03.2015;12:45:00;258,00;377;
02.03.2015;12:45:00;02.03.2015;13:00:00;257,00;373;
02.03.2015;13:00:00;02.03.2015;13:15:00;254,00;372;
02.03.2015;13:15:00;02.03.2015;13:30:00;250,00;343;
02.03.2015;13:30:00;02.03.2015;13:45:00;246,00;341;
02.03.2015;13:45:00;02.03.2015;14:00:00;242,00;335;
