Photovoltaikenergieeinspeisung in Gesamt;;;;
2010 Januar;;;;
;;;;
Datum;Position;prognostiziert [MW];tatsächlich [MW];
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;0;0;
;30;0;0;
;31;0;0;
;32;0;0;
;33;25;0;
;34;25;2;
;35;25;4;
;36;25;11;
;37;237;22;
;38;237;33;
;39;237;47;
;40;237;62;
;41;609;79;
;42;609;96;
;43;609;113;
;44;609;126;
;45;862;138;
;46;862;156;
;47;862;167;
;48;862;175;
;49;919;182;
;50;919;188;
;51;919;190;
;52;919;194;
;53;786;193;
;54;786;188;
;55;786;177;
;56;786;165;
;57;486;148;
;58;486;140;
;59;486;120;
;60;486;99;
;61;119;79;
;62;119;57;
;63;119;37;
;64;119;21;
;65;6;9;
;66;6;6;
;67;6;2;
;68;6;1;
;69;0;0;
;70;0;0;
;71;0;0;
;72;0;0;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-01-06;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;0;0;
;30;0;0;
;31;0;0;
;32;0;0;
;33;20;0;
;34;20;0;
;35;20;1;
;36;20;3;
;37;159;7;
;38;159;15;
;39;159;25;
;40;159;37;
;41;403;48;
;42;403;60;
;43;403;67;
;44;403;78;
;45;601;86;
;46;601;96;
;47;601;104;
;48;601;108;
;49;659;108;
;50;659;113;
;51;659;113;
;52;659;112;
;53;581;110;
;54;581;108;
;55;581;97;
;56;581;92;
;57;373;82;
;58;373;75;
;59;373;60;
;60;373;49;
;61;98;40;
;62;98;31;
;63;98;21;
;64;98;12;
;65;3;5;
;66;3;2;
;67;3;1;
;68;3;0;
;69;0;0;
;70;0;0;
;71;0;0;
;72;0;0;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-01-07;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;0;0;
;30;0;0;
;31;0;0;
;32;0;0;
;33;18;0;
;34;18;0;
;35;18;2;
;36;18;6;
;37;161;15;
;38;161;28;
;39;161;48;
;40;161;69;
;41;399;93;
;42;399;122;
;43;399;170;
;44;399;238;
;45;583;294;
;46;583;347;
;47;583;386;
;48;583;422;
;49;613;437;
;50;613;454;
;51;613;472;
;52;613;471;
;53;516;471;
;54;516;451;
;55;516;415;
;56;516;380;
;57;320;366;
;58;320;327;
;59;320;314;
;60;320;260;
;61;92;198;
;62;92;130;
;63;92;71;
;64;92;35;
;65;4;17;
;66;4;6;
;67;4;2;
;68;4;1;
;69;0;0;
;70;0;0;
;71;0;0;
;72;0;0;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-01-08;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;0;0;
;30;0;0;
;31;0;0;
;32;0;0;
;33;9;0;
;34;9;0;
;35;9;1;
;36;9;4;
;37;84;9;
;38;84;18;
;39;84;27;
;40;84;37;
;41;200;47;
;42;200;61;
;43;200;68;
;44;200;82;
;45;286;90;
;46;286;99;
;47;286;103;
;48;286;104;
;49;294;108;
;50;294;108;
;51;294;105;
;52;294;101;
;53;241;96;
;54;241;92;
;55;241;83;
;56;241;77;
;57;139;69;
;58;139;60;
;59;139;49;
;60;139;39;
;61;33;29;
;62;33;21;
;63;33;17;
;64;33;9;
;65;5;5;
;66;5;2;
;67;5;1;
;68;5;1;
;69;0;0;
;70;0;0;
;71;0;0;
;72;0;0;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-01-09;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;0;0;
;30;0;0;
;31;0;0;
;32;0;0;
;33;5;0;
;34;5;0;
;35;5;1;
;36;5;3;
;37;55;6;
;38;55;10;
;39;55;18;
;40;55;24;
;41;150;31;
;42;150;37;
;43;150;44;
;44;150;52;
;45;225;52;
;46;225;55;
;47;225;54;
;48;225;58;
;49;244;60;
;50;244;66;
;51;244;71;
;52;244;68;
;53;212;68;
;54;212;69;
;55;212;63;
;56;212;61;
;57;131;52;
;58;131;40;
;59;131;33;
;60;131;25;
;61;27;19;
;62;27;15;
;63;27;9;
;64;27;5;
;65;3;3;
;66;3;2;
;67;3;1;
;68;3;1;
;69;0;1;
;70;0;1;
;71;0;0;
;72;0;0;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-01-10;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;0;0;
;30;0;0;
;31;0;0;
;32;0;0;
;33;7;0;
;34;7;0;
;35;7;1;
;36;7;2;
;37;62;5;
;38;62;8;
;39;62;12;
;40;62;12;
;41;154;14;
;42;154;20;
;43;154;21;
;44;154;27;
;45;226;28;
;46;226;29;
;47;226;32;
;48;226;31;
;49;248;32;
;50;248;31;
;51;248;33;
;52;248;36;
;53;221;35;
;54;221;34;
;55;221;32;
;56;221;30;
;57;145;27;
;58;145;24;
;59;145;23;
;60;145;15;
;61;42;11;
;62;42;9;
;63;42;5;
;64;42;4;
;65;3;2;
;66;3;0;
;67;3;0;
;68;3;0;
;69;0;0;
;70;0;0;
;71;0;0;
;72;0;0;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-01-11;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;0;0;
;30;0;0;
;31;0;0;
;32;0;0;
;33;6;0;
;34;6;0;
