Datum von;Uhrzeit von;Datum bis;Uhrzeit bis;Prognose (MW);Ist-Wert (MW);
01.01.2015;00:00:00;01.01.2015;00:15:00;15,00;4;
01.01.2015;00:15:00;01.01.2015;00:30:00;15,00;3;
01.01.2015;00:30:00;01.01.2015;00:45:00;14,00;5;
01.01.2015;00:45:00;01.01.2015;01:00:00;14,00;5;
01.01.2015;01:00:00;01.01.2015;01:15:00;13,00;4;
01.01.2015;01:15:00;01.01.2015;01:30:00;13,00;5;
01.01.2015;01:30:00;01.01.2015;01:45:00;13,00;6;
01.01.2015;01:45:00;01.01.2015;02:00:00;13,00;5;
01.01.2015;02:00:00;01.01.2015;02:15:00;13,00;6;
01.01.2015;02:15:00;01.01.2015;02:30:00;13,00;6;
01.01.2015;02:30:00;01.01.2015;02:45:00;14,00;6;
01.01.2015;02:45:00;01.01.2015;03:00:00;14,00;10;
01.01.2015;03:00:00;01.01.2015;03:15:00;14,00;9;
01.01.2015;03:15:00;01.01.2015;03:30:00;14,00;8;
01.01.2015;03:30:00;01.01.2015;03:45:00;13,00;8;
01.01.2015;03:45:00;01.01.2015;04:00:00;13,00;6;
01.01.2015;04:00:00;01.01.2015;04:15:00;13,00;6;
01.01.2015;04:15:00;01.01.2015;04:30:00;12,00;14;
01.01.2015;04:30:00;01.01.2015;04:45:00;11,00;14;
01.01.2015;04:45:00;01.01.2015;05:00:00;10,00;9;
01.01.2015;05:00:00;01.01.2015;05:15:00;10,00;14;
01.01.2015;05:15:00;01.01.2015;05:30:00;9,00;6;
01.01.2015;05:30:00;01.01.2015;05:45:00;8,00;3;
01.01.2015;05:45:00;01.01.2015;06:00:00;8,00;2;
01.01.2015;06:00:00;01.01.2015;06:15:00;7,00;3;
01.01.2015;06:15:00;01.01.2015;06:30:00;7,00;1;
01.01.2015;06:30:00;01.01.2015;06:45:00;7,00;2;
01.01.2015;06:45:00;01.01.2015;07:00:00;6,00;2;
01.01.2015;07:00:00;01.01.2015;07:15:00;6,00;4;
01.01.2015;07:15:00;01.01.2015;07:30:00;6,00;4;
01.01.2015;07:30:00;01.01.2015;07:45:00;6,00;5;
01.01.2015;07:45:00;01.01.2015;08:00:00;5,00;11;
01.01.2015;08:00:00;01.01.2015;08:15:00;5,00;6;
01.01.2015;08:15:00;01.01.2015;08:30:00;6,00;1;
01.01.2015;08:30:00;01.01.2015;08:45:00;6,00;1;
01.01.2015;08:45:00;01.01.2015;09:00:00;7,00;1;
01.01.2015;09:00:00;01.01.2015;09:15:00;8,00;1;
01.01.2015;09:15:00;01.01.2015;09:30:00;9,00;1;
01.01.2015;09:30:00;01.01.2015;09:45:00;10,00;2;
01.01.2015;09:45:00;01.01.2015;10:00:00;11,00;0;
01.01.2015;10:00:00;01.01.2015;10:15:00;11,00;0;
01.01.2015;10:15:00;01.01.2015;10:30:00;11,00;0;
01.01.2015;10:30:00;01.01.2015;10:45:00;11,00;0;
01.01.2015;10:45:00;01.01.2015;11:00:00;11,00;0;
01.01.2015;11:00:00;01.01.2015;11:15:00;11,00;0;
01.01.2015;11:15:00;01.01.2015;11:30:00;11,00;1;
01.01.2015;11:30:00;01.01.2015;11:45:00;11,00;1;
01.01.2015;11:45:00;01.01.2015;12:00:00;11,00;1;
01.01.2015;12:00:00;01.01.2015;12:15:00;10,00;0;
01.01.2015;12:15:00;01.01.2015;12:30:00;10,00;4;
01.01.2015;12:30:00;01.01.2015;12:45:00;10,00;3;
01.01.2015;12:45:00;01.01.2015;13:00:00;9,00;5;
01.01.2015;13:00:00;01.01.2015;13:15:00;9,00;3;
01.01.2015;13:15:00;01.01.2015;13:30:00;9,00;2;
01.01.2015;13:30:00;01.01.2015;13:45:00;9,00;0;
01.01.2015;13:45:00;01.01.2015;14:00:00;9,00;1;
01.01.2015;14:00:00;01.01.2015;14:15:00;10,00;1;
01.01.2015;14:15:00;01.01.2015;14:30:00;11,00;0;
01.01.2015;14:30:00;01.01.2015;14:45:00;12,00;1;
01.01.2015;14:45:00;01.01.2015;15:00:00;12,00;1;
01.01.2015;15:00:00;01.01.2015;15:15:00;13,00;2;
01.01.2015;15:15:00;01.01.2015;15:30:00;14,00;2;
01.01.2015;15:30:00;01.01.2015;15:45:00;16,00;2;
01.01.2015;15:45:00;01.01.2015;16:00:00;17,00;3;
01.01.2015;16:00:00;01.01.2015;16:15:00;17,00;4;
01.01.2015;16:15:00;01.01.2015;16:30:00;16,00;5;
01.01.2015;16:30:00;01.01.2015;16:45:00;16,00;2;
01.01.2015;16:45:00;01.01.2015;17:00:00;15,00;3;
01.01.2015;17:00:00;01.01.2015;17:15:00;16,00;4;
01.01.2015;17:15:00;01.01.2015;17:30:00;18,00;4;
01.01.2015;17:30:00;01.01.2015;17:45:00;19,00;3;
01.01.2015;17:45:00;01.01.2015;18:00:00;21,00;2;
01.01.2015;18:00:00;01.01.2015;18:15:00;25,00;2;
01.01.2015;18:15:00;01.01.2015;18:30:00;31,00;1;
01.01.2015;18:30:00;01.01.2015;18:45:00;37,00;2;
01.01.2015;18:45:00;01.01.2015;19:00:00;43,00;5;
01.01.2015;19:00:00;01.01.2015;19:15:00;49,00;3;
01.01.2015;19:15:00;01.01.2015;19:30:00;55,00;4;
01.01.2015;19:30:00;01.01.2015;19:45:00;61,00;16;
01.01.2015;19:45:00;01.01.2015;20:00:00;67,00;4;
01.01.2015;20:00:00;01.01.2015;20:15:00;71,00;4;
01.01.2015;20:15:00;01.01.2015;20:30:00;73,00;6;
01.01.2015;20:30:00;01.01.2015;20:45:00;75,00;10;
01.01.2015;20:45:00;01.01.2015;21:00:00;78,00;11;
01.01.2015;21:00:00;01.01.2015;21:15:00;79,00;3;
01.01.2015;21:15:00;01.01.2015;21:30:00;80,00;8;
01.01.2015;21:30:00;01.01.2015;21:45:00;82,00;15;
01.01.2015;21:45:00;01.01.2015;22:00:00;83,00;11;
01.01.2015;22:00:00;01.01.2015;22:15:00;84,00;10;
01.01.2015;22:15:00;01.01.2015;22:30:00;84,00;14;
01.01.2015;22:30:00;01.01.2015;22:45:00;85,00;18;
01.01.2015;22:45:00;01.01.2015;23:00:00;86,00;32;
