Datum von;Uhrzeit von;Datum bis;Uhrzeit bis;Prognose (MW);Ist-Wert (MW);
01.06.2015;00:00:00;01.06.2015;00:15:00;113,00;94;
01.06.2015;00:15:00;01.06.2015;00:30:00;113,00;100;
01.06.2015;00:30:00;01.06.2015;00:45:00;113,00;94;
01.06.2015;00:45:00;01.06.2015;01:00:00;114,00;113;
01.06.2015;01:00:00;01.06.2015;01:15:00;113,00;111;
01.06.2015;01:15:00;01.06.2015;01:30:00;112,00;110;
01.06.2015;01:30:00;01.06.2015;01:45:00;110,00;102;
01.06.2015;01:45:00;01.06.2015;02:00:00;109,00;115;
01.06.2015;02:00:00;01.06.2015;02:15:00;108,00;99;
01.06.2015;02:15:00;01.06.2015;02:30:00;107,00;95;
01.06.2015;02:30:00;01.06.2015;02:45:00;105,00;88;
01.06.2015;02:45:00;01.06.2015;03:00:00;104,00;94;
01.06.2015;03:00:00;01.06.2015;03:15:00;103,00;91;
01.06.2015;03:15:00;01.06.2015;03:30:00;102,00;97;
01.06.2015;03:30:00;01.06.2015;03:45:00;101,00;105;
01.06.2015;03:45:00;01.06.2015;04:00:00;101,00;104;
01.06.2015;04:00:00;01.06.2015;04:15:00;100,00;104;
01.06.2015;04:15:00;01.06.2015;04:30:00;99,00;110;
01.06.2015;04:30:00;01.06.2015;04:45:00;98,00;108;
01.06.2015;04:45:00;01.06.2015;05:00:00;98,00;101;
01.06.2015;05:00:00;01.06.2015;05:15:00;96,00;100;
01.06.2015;05:15:00;01.06.2015;05:30:00;94,00;119;
01.06.2015;05:30:00;01.06.2015;05:45:00;92,00;122;
01.06.2015;05:45:00;01.06.2015;06:00:00;90,00;133;
01.06.2015;06:00:00;01.06.2015;06:15:00;87,00;138;
01.06.2015;06:15:00;01.06.2015;06:30:00;85,00;144;
01.06.2015;06:30:00;01.06.2015;06:45:00;83,00;139;
01.06.2015;06:45:00;01.06.2015;07:00:00;81,00;137;
01.06.2015;07:00:00;01.06.2015;07:15:00;78,00;135;
01.06.2015;07:15:00;01.06.2015;07:30:00;75,00;110;
01.06.2015;07:30:00;01.06.2015;07:45:00;72,00;110;
