Datum von;Uhrzeit von;Datum bis;Uhrzeit bis;Prognose (MW);Ist-Wert (MW);
01.10.2015;00:00:00;01.10.2015;00:15:00;366,00;353;
01.10.2015;00:15:00;01.10.2015;00:30:00;366,00;363;
01.10.2015;00:30:00;01.10.2015;00:45:00;365,00;366;
01.10.2015;00:45:00;01.10.2015;01:00:00;365,00;367;
01.10.2015;01:00:00;01.10.2015;01:15:00;364,00;370;
01.10.2015;01:15:00;01.10.2015;01:30:00;364,00;385;
01.10.2015;01:30:00;01.10.2015;01:45:00;364,00;368;
01.10.2015;01:45:00;01.10.2015;02:00:00;363,00;385;
01.10.2015;02:00:00;01.10.2015;02:15:00;364,00;401;
01.10.2015;02:15:00;01.10.2015;02:30:00;365,00;400;
01.10.2015;02:30:00;01.10.2015;02:45:00;366,00;414;
01.10.2015;02:45:00;01.10.2015;03:00:00;367,00;420;
01.10.2015;03:00:00;01.10.2015;03:15:00;368,00;418;
01.10.2015;03:15:00;01.10.2015;03:30:00;368,00;415;
01.10.2015;03:30:00;01.10.2015;03:45:00;369,00;418;
01.10.2015;03:45:00;01.10.2015;04:00:00;370,00;405;
01.10.2015;04:00:00;01.10.2015;04:15:00;369,00;403;
01.10.2015;04:15:00;01.10.2015;04:30:00;368,00;419;
01.10.2015;04:30:00;01.10.2015;04:45:00;366,00;422;
01.10.2015;04:45:00;01.10.2015;05:00:00;365,00;429;
01.10.2015;05:00:00;01.10.2015;05:15:00;363,00;418;
01.10.2015;05:15:00;01.10.2015;05:30:00;362,00;416;
01.10.2015;05:30:00;01.10.2015;05:45:00;361,00;411;
01.10.2015;05:45:00;01.10.2015;06:00:00;360,00;407;
01.10.2015;06:00:00;01.10.2015;06:15:00;359,00;402;
01.10.2015;06:15:00;01.10.2015;06:30:00;358,00;399;
01.10.2015;06:30:00;01.10.2015;06:45:00;357,00;402;
01.10.2015;06:45:00;01.10.2015;07:00:00;355,00;416;
01.10.2015;07:00:00;01.10.2015;07:15:00;352,00;406;
01.10.2015;07:15:00;01.10.2015;07:30:00;347,00;404;
01.10.2015;07:30:00;01.10.2015;07:45:00;341,00;401;
01.10.2015;07:45:00;01.10.2015;08:00:00;336,00;390;
01.10.2015;08:00:00;01.10.2015;08:15:00;329,00;376;
01.10.2015;08:15:00;01.10.2015;08:30:00;321,00;377;
01.10.2015;08:30:00;01.10.2015;08:45:00;314,00;360;
01.10.2015;08:45:00;01.10.2015;09:00:00;306,00;341;
01.10.2015;09:00:00;01.10.2015;09:15:00;298,00;313;
01.10.2015;09:15:00;01.10.2015;09:30:00;291,00;304;
01.10.2015;09:30:00;01.10.2015;09:45:00;285,00;275;
01.10.2015;09:45:00;01.10.2015;10:00:00;278,00;262;
01.10.2015;10:00:00;01.10.2015;10:15:00;271,00;242;
01.10.2015;10:15:00;01.10.2015;10:30:00;265,00;226;
01.10.2015;10:30:00;01.10.2015;10:45:00;258,00;233;
01.10.2015;10:45:00;01.10.2015;11:00:00;252,00;237;
01.10.2015;11:00:00;01.10.2015;11:15:00;246,00;219;
01.10.2015;11:15:00;01.10.2015;11:30:00;243,00;236;
01.10.2015;11:30:00;01.10.2015;11:45:00;239,00;223;
01.10.2015;11:45:00;01.10.2015;12:00:00;235,00;231;
01.10.2015;12:00:00;01.10.2015;12:15:00;232,00;218;
01.10.2015;12:15:00;01.10.2015;12:30:00;228,00;221;
01.10.2015;12:30:00;01.10.2015;12:45:00;225,00;207;
01.10.2015;12:45:00;01.10.2015;13:00:00;222,00;193;
