Datum von;Uhrzeit von;Datum bis;Uhrzeit bis;Prognose (MW);Ist-Wert (MW)
01.03.2015;22:45:00;01.03.2015;23:00:00;194;241
01.03.2015;23:00:00;01.03.2015;23:15:00;192;281
01.03.2015;23:15:00;01.03.2015;23:30:00;189;259
01.03.2015;23:30:00;01.03.2015;23:45:00;186;314
01.03.2015;23:45:00;02.03.2015;00:00:00;183;345
02.03.2015;00:00:00;02.03.2015;00:15:00;237;341
02.03.2015;00:15:00;02.03.2015;00:30:00;239;267
02.03.2015;00:30:00;02.03.2015;00:45:00;242;304
02.03.2015;00:45:00;02.03.2015;01:00:00;244;288
02.03.2015;01:00:00;02.03.2015;01:15:00;247;311
02.03.2015;01:15:00;02.03.2015;01:30:00;251;301
02.03.2015;01:30:00;02.03.2015;01:45:00;255;341
02.03.2015;01:45:00;02.03.2015;02:00:00;259;328
02.03.2015;02:00:00;02.03.2015;02:15:00;263;337
02.03.2015;02:15:00;02.03.2015;02:30:00;268;369
02.03.2015;02:30:00;02.03.2015;02:45:00;273;387
02.03.2015;02:45:00;02.03.2015;03:00:00;278;386
02.03.2015;03:00:00;02.03.2015;03:15:00;281;381
02.03.2015;03:15:00;02.03.2015;03:30:00;283;390
02.03.2015;03:30:00;02.03.2015;03:45:00;285;340
02.03.2015;03:45:00;02.03.2015;04:00:00;286;398
02.03.2015;04:00:00;02.03.2015;04:15:00;287;370
02.03.2015;04:15:00;02.03.2015;04:30:00;285;432
02.03.2015;04:30:00;02.03.2015;04:45:00;284;442
02.03.2015;04:45:00;02.03.2015;05:00:00;283;487
02.03.2015;05:00:00;02.03.2015;05:15:00;282;478
02.03.2015;05:15:00;02.03.2015;05:30:00;281;470
02.03.2015;05:30:00;02.03.2015;05:45:00;279;513
02.03.2015;05:45:00;02.03.2015;06:00:00;278;499
02.03.2015;06:00:00;02.03.2015;06:15:00;274;489
02.03.2015;06:15:00;02.03.2015;06:30:00;268;484
02.03.2015;06:30:00;02.03.2015;06:45:00;261;481
02.03.2015;06:45:00;02.03.2015;07:00:00;255;453
02.03.2015;07:00:00;02.03.2015;07:15:00;250;436
02.03.2015;07:15:00;02.03.2015;07:30:00;247;342
02.03.2015;07:30:00;02.03.2015;07:45:00;244;319
02.03.2015;07:45:00;02.03.2015;08:00:00;242;289
02.03.2015;08:00:00;02.03.2015;08:15:00;239;286
02.03.2015;08:15:00;02.03.2015;08:30:00;238;325
02.03.2015;08:30:00;02.03.2015;08:45:00;237;329
02.03.2015;08:45:00;02.03.2015;09:00:00;236;320
02.03.2015;09:00:00;02.03.2015;09:15:00;235;386
02.03.2015;09:15:00;02.03.2015;09:30:00;234;424
02.03.2015;09:30:00;02.03.2015;09:45:00;234;403
02.03.2015;09:45:00;02.03.2015;10:00:00;233;397
02.03.2015;10:00:00;02.03.2015;10:15:00;235;395
02.03.2015;10:15:00;02.03.2015;10:30:00;239;401
02.03.2015;10:30:00;02.03.2015;10:45:00;243;361
02.03.2015;10:45:00;02.03.2015;11:00:00;246;404
02.03.2015;11:00:00;02.03.2015;11:15:00;250;497
02.03.2015;11:15:00;02.03.2015;11:30:00;254;458
02.03.2015;11:30:00;02.03.2015;11:45:00;257;482
02.03.2015;11:45:00;02.03.2015;12:00:00;261;489
02.03.2015;12:00:00;02.03.2015;12:15:00;262;429
02.03.2015;12:15:00;02.03.2015;12:30:00;260;410
02.03.2015;12:30:00;02.03.2015;12:45:00;258;377
02.03.2015;12:45:00;02.03.2015;13:00:00;257;373
02.03.2015;13:00:00;02.03.2015;13:15:00;254;372
02.03.2015;13:15:00;02.03.2015;13:30:00;250;343
02.03.2015;13:30:00;02.03.2015;13:45:00;246;341
02.03.2015;13:45:00;02.03.2015;14:00:00;242;335
02.03.2015;14:00:00;02.03.2015;14:15:00;234;382
02.03.2015;14:15:00;02.03.2015;14:30:00;222;393
02.03.2015;14:30:00;02.03.2015;14:45:00;210;390
02.03.2015;14:45:00;02.03.2015;15:00:00;198;347
02.03.2015;15:00:00;02.03.2015;15:15:00;190;323
02.03.2015;15:15:00;02.03.2015;15:30:00;185;287
02.03.2015;15:30:00;02.03.2015;15:45:00;181;307
02.03.2015;15:45:00;02.03.2015;16:00:00;177;324
02.03.2015;16:00:00;02.03.2015;16:15:00;176;324
02.03.2015;16:15:00;02.03.2015;16:30:00;178;314
02.03.2015;16:30:00;02.03.2015;16:45:00;180;298
02.03.2015;16:45:00;02.03.2015;17:00:00;183;297
02.03.2015;17:00:00;02.03.2015;17:15:00;187;312
02.03.2015;17:15:00;02.03.2015;17:30:00;194;290
02.03.2015;17:30:00;02.03.2015;17:45:00;201;362
02.03.2015;17:45:00;02.03.2015;18:00:00;209;298
02.03.2015;18:00:00;02.03.2015;18:15:00;217;270
02.03.2015;18:15:00;02.03.2015;18:30:00;226;244
02.03.2015;18:30:00;02.03.2015;18:45:00;235;304
02.03.2015;18:45:00;02.03.2015;19:00:00;245;395
02.03.2015;19:00:00;02.03.2015;19:15:00;251;422
02.03.2015;19:15:00;02.03.2015;19:30:00;254;402
02.03.2015;19:30:00;02.03.2015;19:45:00;257;385
02.03.2015;19:45:00;02.03.2015;20:00:00;260;444
02.03.2015;20:00:00;02.03.2015;20:15:00;261;407
02.03.2015;20:15:00;02.03.2015;20:30:00;260;473
02.03.2015;20:30:00;02.03.2015;20:45:00;259;475
02.03.2015;20:45:00;02.03.2015;21:00:00;257;444
02.03.2015;21:00:00;02.03.2015;21:15:00;255;397
02.03.2015;21:15:00;02.03.2015;21:30:00;252;439
02.03.2015;21:30:00;02.03.2015;21:45:00;249;399
02.03.2015;21:45:00;02.03.2015;22:00:00;245;401
02.03.2015;22:00:00;02.03.2015;22:15:00;242;427
02.03.2015;22:15:00;02.03.2015;22:30:00;238;428
02.03.2015;22:30:00;02.03.2015;22:45:00;235;427
02.03.2015;22:45:00;02.03.2015;23:00:00;231;439
02.03.2015;23:00:00;02.03.2015;23:15:00;226;442
02.03.2015;23:15:00;02.03.2015;23:30:00;220;423
02.03.2015;23:30:00;02.03.2015;23:45:00;213;403
02.03.2015;23:45:00;03.03.2015;00:00:00;207;402
03.03.2015;00:00:00;03.03.2015;00:15:00;260;379
03.03.2015;00:15:00;03.03.2015;00:30:00;251;381
03.03.2015;00:30:00;03.03.2015;00:45:00;242;379
03.03.2015;00:45:00;03.03.2015;01:00:00;233;326
03.03.2015;01:00:00;03.03.2015;01:15:00;225;338
03.03.2015;01:15:00;03.03.2015;01:30:00;218;301
03.03.2015;01:30:00;03.03.2015;01:45:00;211;324
03.03.2015;01:45:00;03.03.2015;02:00:00;203;287
03.03.2015;02:00:00;03.03.2015;02:15:00;198;284
03.03.2015;02:15:00;03.03.2015;02:30:00;194;244
03.03.2015;02:30:00;03.03.2015;02:45:00;190;246
03.03.2015;02:45:00;03.03.2015;03:00:00;186;249
03.03.2015;03:00:00;03.03.2015;03:15:00;181;250
03.03.2015;03:15:00;03.03.2015;03:30:00;177;233
03.03.2015;03:30:00;03.03.2015;03:45:00;172;221
03.03.2015;03:45:00;03.03.2015;04:00:00;167;208
03.03.2015;04:00:00;03.03.2015;04:15:00;164;189
03.03.2015;04:15:00;03.03.2015;04:30:00;161;195
03.03.2015;04:30:00;03.03.2015;04:45:00;158;175
03.03.2015;04:45:00;03.03.2015;05:00:00;156;166
03.03.2015;05:00:00;03.03.2015;05:15:00;154;160
03.03.2015;05:15:00;03.03.2015;05:30:00;152;167
03.03.2015;05:30:00;03.03.2015;05:45:00;149;216
03.03.2015;05:45:00;03.03.2015;06:00:00;147;183
03.03.2015;06:00:00;03.03.2015;06:15:00;146;177
03.03.2015;06:15:00;03.03.2015;06:30:00;144;189
03.03.2015;06:30:00;03.03.2015;06:45:00;142;197
03.03.2015;06:45:00;03.03.2015;07:00:00;141;216
03.03.2015;07:00:00;03.03.2015;07:15:00;138;216
03.03.2015;07:15:00;03.03.2015;07:30:00;133;187
03.03.2015;07:30:00;03.03.2015;07:45:00;129;227
03.03.2015;07:45:00;03.03.2015;08:00:00;125;213
03.03.2015;08:00:00;03.03.2015;08:15:00;121;222
03.03.2015;08:15:00;03.03.2015;08:30:00;117;286
03.03.2015;08:30:00;03.03.2015;08:45:00;113;212
03.03.2015;08:45:00;03.03.2015;09:00:00;109;216
03.03.2015;09:00:00;03.03.2015;09:15:00;105;209
03.03.2015;09:15:00;03.03.2015;09:30:00;102;177
03.03.2015;09:30:00;03.03.2015;09:45:00;98;168
03.03.2015;09:45:00;03.03.2015;10:00:00;95;205
03.03.2015;10:00:00;03.03.2015;10:15:00;93;233
03.03.2015;10:15:00;03.03.2015;10:30:00;92;285
03.03.2015;10:30:00;03.03.2015;10:45:00;92;306
03.03.2015;10:45:00;03.03.2015;11:00:00;91;316
03.03.2015;11:00:00;03.03.2015;11:15:00;92;274
03.03.2015;11:15:00;03.03.2015;11:30:00;93;270
03.03.2015;11:30:00;03.03.2015;11:45:00;94;229
03.03.2015;11:45:00;03.03.2015;12:00:00;96;247
03.03.2015;12:00:00;03.03.2015;12:15:00;98;214
03.03.2015;12:15:00;03.03.2015;12:30:00;100;164
03.03.2015;12:30:00;03.03.2015;12:45:00;103;172
03.03.2015;12:45:00;03.03.2015;13:00:00;106;152
03.03.2015;13:00:00;03.03.2015;13:15:00;109;187
03.03.2015;13:15:00;03.03.2015;13:30:00;113;185
03.03.2015;13:30:00;03.03.2015;13:45:00;117;191
03.03.2015;13:45:00;03.03.2015;14:00:00;121;202
03.03.2015;14:00:00;03.03.2015;14:15:00;124;185
03.03.2015;14:15:00;03.03.2015;14:30:00;127;193
03.03.2015;14:30:00;03.03.2015;14:45:00;130;175
03.03.2015;14:45:00;03.03.2015;15:00:00;132;173
03.03.2015;15:00:00;03.03.2015;15:15:00;135;171
03.03.2015;15:15:00;03.03.2015;15:30:00;138;143
03.03.2015;15:30:00;03.03.2015;15:45:00;140;196
03.03.2015;15:45:00;03.03.2015;16:00:00;143;178
03.03.2015;16:00:00;03.03.2015;16:15:00;146;180
03.03.2015;16:15:00;03.03.2015;16:30:00;149;182
03.03.2015;16:30:00;03.03.2015;16:45:00;152;219
03.03.2015;16:45:00;03.03.2015;17:00:00;155;250
03.03.2015;17:00:00;03.03.2015;17:15:00;158;198
03.03.2015;17:15:00;03.03.2015;17:30:00;161;200
03.03.2015;17:30:00;03.03.2015;17:45:00;164;190
03.03.2015;17:45:00;03.03.2015;18:00:00;166;166
03.03.2015;18:00:00;03.03.2015;18:15:00;170;170
03.03.2015;18:15:00;03.03.2015;18:30:00;174;190
03.03.2015;18:30:00;03.03.2015;18:45:00;178;210
03.03.2015;18:45:00;03.03.2015;19:00:00;183;234
03.03.2015;19:00:00;03.03.2015;19:15:00;187;204
03.03.2015;19:15:00;03.03.2015;19:30:00;191;244
03.03.2015;19:30:00;03.03.2015;19:45:00;195;264
03.03.2015;19:45:00;03.03.2015;20:00:00;199;268
03.03.2015;20:00:00;03.03.2015;20:15:00;203;279
03.03.2015;20:15:00;03.03.2015;20:30:00;205;259
03.03.2015;20:30:00;03.03.2015;20:45:00;207;225
03.03.2015;20:45:00;03.03.2015;21:00:00;209;219
03.03.2015;21:00:00;03.03.2015;21:15:00;212;255
03.03.2015;21:15:00;03.03.2015;21:30:00;215;276
03.03.2015;21:30:00;03.03.2015;21:45:00;219;260
03.03.2015;21:45:00;03.03.2015;22:00:00;222;307
03.03.2015;22:00:00;03.03.2015;22:15:00;222;310
03.03.2015;22:15:00;03.03.2015;22:30:00;218;334
03.03.2015;22:30:00;03.03.2015;22:45:00;214;338
03.03.2015;22:45:00;03.03.2015;23:00:00;209;341
03.03.2015;23:00:00;03.03.2015;23:15:00;204;330
03.03.2015;23:15:00;03.03.2015;23:30:00;198;319
03.03.2015;23:30:00;03.03.2015;23:45:00;193;315
03.03.2015;23:45:00;04.03.2015;00:00:00;187;320
04.03.2015;00:00:00;04.03.2015;00:15:00;209;325
04.03.2015;00:15:00;04.03.2015;00:30:00;205;332
04.03.2015;00:30:00;04.03.2015;00:45:00;200;342
04.03.2015;00:45:00;04.03.2015;01:00:00;195;319
